Performance Statistics   2024-07-09 04:26:00 - 2024-07-09 04:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         0,0           0           0         0,0           1
login#create                                            32,0          32          32         0,0           1
login#init                                               8,0           8           8         0,0           1
login#inject                                            13,0          13          13         0,0           1
login#load                                             124,0         124         124         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                3,0           3           3         0,0           1
main#afterShow                                           2,0           2           2         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                              6,0           6           6         0,0           1
main#init                                                4,0           4           4         0,0           1
main#inject                                              2,0           2           2         0,0           1
main#load                                               42,0          42          42         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 0,0           0           0         0,0           1

Performance Statistics   2024-07-09 04:28:00 - 2024-07-09 04:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         0,0           0           0         0,0           1
login#create                                            30,0          30          30         0,0           1
login#init                                               6,0           6           6         0,0           1
login#inject                                            12,0          12          12         0,0           1
login#load                                             119,0         119         119         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                3,0           3           3         0,0           1
main#afterShow                                           2,0           2           2         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                              8,0           8           8         0,0           1
main#init                                                4,0           4           4         0,0           1
main#inject                                              1,0           1           1         0,0           1
main#load                                               48,0          48          48         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 1,0           1           1         0,0           1

Performance Statistics   2024-07-09 04:30:00 - 2024-07-09 04:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.intership_CommercialNetwork.browse            193,0         193         193         0,0           1
MenuItem.intership_ManufacturerOfGoods.browse           82,5          46         119        36,5           2
MenuItem.intership_Product.browse                       45,0          45          45         0,0           1
MenuItem.intership_Shop.browse                          45,0          45          45         0,0           1
intership_CommercialNetwork.browse#afterShow             0,0           0           0         0,0           1
intership_CommercialNetwork.browse#beforeShow            6,0           6           6         0,0           1
intership_CommercialNetwork.browse#create                9,0           9           9         0,0           1
intership_CommercialNetwork.browse#init                  0,0           0           0         0,0           1
intership_CommercialNetwork.browse#inject                0,0           0           0         0,0           1
intership_CommercialNetwork.browse#load                142,0         142         142         0,0           1
intership_CommercialNetwork.browse#uiPermissions         0,0           0           0         0,0           1
intership_CommercialNetwork.browse#xml                   4,0           4           4         0,0           1
intership_ManufacturerOfGoods.browse#afterShow           0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#beforeShow          5,0           4           6         1,0           2
intership_ManufacturerOfGoods.browse#create              0,5           0           1         0,5           2
intership_ManufacturerOfGoods.browse#init                0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#inject              0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#load               53,0          12          94        41,0           2
intership_ManufacturerOfGoods.browse#uiPermissions         0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#xml                 1,0           0           2         1,0           2
intership_Product.browse#afterShow                       0,0           0           0         0,0           1
intership_Product.browse#beforeShow                      9,0           9           9         0,0           1
intership_Product.browse#create                          0,0           0           0         0,0           1
intership_Product.browse#init                            0,0           0           0         0,0           1
intership_Product.browse#inject                          0,0           0           0         0,0           1
intership_Product.browse#load                           11,0          11          11         0,0           1
intership_Product.browse#uiPermissions                   0,0           0           0         0,0           1
intership_Product.browse#xml                             2,0           2           2         0,0           1
intership_Shop.browse#afterShow                          0,0           0           0         0,0           1
intership_Shop.browse#beforeShow                        10,0          10          10         0,0           1
intership_Shop.browse#create                             0,0           0           0         0,0           1
intership_Shop.browse#init                               0,0           0           0         0,0           1
intership_Shop.browse#inject                             0,0           0           0         0,0           1
intership_Shop.browse#load                              13,0          13          13         0,0           1
intership_Shop.browse#uiPermissions                      0,0           0           0         0,0           1
intership_Shop.browse#xml                                2,0           2           2         0,0           1

Performance Statistics   2024-07-09 04:32:00 - 2024-07-09 04:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         0,0           0           0         0,0           1
login#create                                            29,0          29          29         0,0           1
login#init                                               6,0           6           6         0,0           1
login#inject                                            11,0          11          11         0,0           1
login#load                                             116,0         116         116         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                3,0           3           3         0,0           1
main#afterShow                                           1,0           1           1         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                              5,0           5           5         0,0           1
main#init                                                4,0           4           4         0,0           1
main#inject                                              1,0           1           1         0,0           1
main#load                                               51,0          51          51         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 0,0           0           0         0,0           1

Performance Statistics   2024-07-09 04:34:00 - 2024-07-09 04:36:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.intership_CommercialNetwork.browse            212,0         212         212         0,0           1
MenuItem.intership_ManufacturerOfGoods.browse           69,0          69          69         0,0           1
MenuItem.intership_Product.browse                       42,0          42          42         0,0           1
MenuItem.intership_Shop.browse                          39,0          39          39         0,0           1
intership_CommercialNetwork.browse#afterShow             0,0           0           0         0,0           2
intership_CommercialNetwork.browse#beforeShow            8,0           6          10         2,0           2
intership_CommercialNetwork.browse#create                5,5           0          11         5,5           2
intership_CommercialNetwork.browse#init                  0,0           0           0         0,0           2
intership_CommercialNetwork.browse#inject                0,0           0           0         0,0           2
intership_CommercialNetwork.browse#load                 76,0           7         145        69,0           2
intership_CommercialNetwork.browse#uiPermissions         0,0           0           0         0,0           2
intership_CommercialNetwork.browse#xml                   2,5           1           4         1,5           2
intership_CommercialNetwork.edit#afterShow               0,0           0           0         0,0           1
intership_CommercialNetwork.edit#beforeShow              3,0           3           3         0,0           1
intership_CommercialNetwork.edit#create                  1,0           1           1         0,0           1
intership_CommercialNetwork.edit#init                    0,0           0           0         0,0           1
