Performance Statistics   2024-07-10 17:22:00 - 2024-07-10 17:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.intership_CommercialNetwork.browse            120,5          20         221       100,5           2
MenuItem.intership_ManufacturerOfGoods.browse           94,5          31         158        63,5           2
MenuItem.intership_Product.browse                       38,0          38          38         0,0           1
MenuItem.intership_Shop.browse                          59,0          59          59         0,0           1
intership_CommercialNetwork.browse#afterShow             0,0           0           0         0,0           2
intership_CommercialNetwork.browse#beforeShow            6,0           3           9         3,0           2
intership_CommercialNetwork.browse#create                7,0           0          14         7,0           2
intership_CommercialNetwork.browse#init                  0,0           0           0         0,0           2
intership_CommercialNetwork.browse#inject                0,0           0           0         0,0           2
intership_CommercialNetwork.browse#load                 79,5           3         156        76,5           2
intership_CommercialNetwork.browse#uiPermissions         0,0           0           0         0,0           2
intership_CommercialNetwork.browse#xml                   2,0           0           4         2,0           2
intership_ManufacturerOfGoods.browse#afterShow           0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#beforeShow         11,0           4          18         7,0           2
intership_ManufacturerOfGoods.browse#create              0,5           0           1         0,5           2
intership_ManufacturerOfGoods.browse#init                0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#inject              0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#load               60,0          11         109        49,0           2
intership_ManufacturerOfGoods.browse#uiPermissions         0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#xml                 1,0           0           2         1,0           2
intership_Product.browse#afterShow                       0,0           0           0         0,0           1
intership_Product.browse#beforeShow                      6,0           6           6         0,0           1
intership_Product.browse#create                          0,0           0           0         0,0           1
intership_Product.browse#init                            0,0           0           0         0,0           1
intership_Product.browse#inject                          0,0           0           0         0,0           1
intership_Product.browse#load                           10,0          10          10         0,0           1
intership_Product.browse#uiPermissions                   0,0           0           0         0,0           1
intership_Product.browse#xml                             2,0           2           2         0,0           1
intership_Shop.browse#afterShow                          0,0           0           0         0,0           1
intership_Shop.browse#beforeShow                        14,0          14          14         0,0           1
intership_Shop.browse#create                             0,0           0           0         0,0           1
intership_Shop.browse#init                               0,0           0           0         0,0           1
intership_Shop.browse#inject                             0,0           0           0         0,0           1
intership_Shop.browse#load                              15,0          15          15         0,0           1
intership_Shop.browse#uiPermissions                      0,0           0           0         0,0           1
intership_Shop.browse#xml                                4,0           4           4         0,0           1
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         0,0           0           0         0,0           1
login#create                                            34,0          34          34         0,0           1
login#init                                               6,0           6           6         0,0           1
login#inject                                            11,0          11          11         0,0           1
login#load                                             129,0         129         129         0,0           1
login#uiPermissions                                      0,0           0           0         0,0           1
login#xml                                                3,0           3           3         0,0           1
main#afterShow                                           2,0           2           2         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                              9,0           9           9         0,0           1
main#init                                                4,0           4           4         0,0           1
main#inject                                              1,0           1           1         0,0           1
main#load                                               43,0          43          43         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 0,0           0           0         0,0           1

Performance Statistics   2024-07-10 17:24:00 - 2024-07-10 17:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2024-07-11 21:04:00 - 2024-07-11 21:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.intership_CommercialNetwork.browse            739,0         739         739         0,0           1
MenuItem.intership_ManufacturerOfGoods.browse          109,0         109         109         0,0           1
MenuItem.intership_Product.browse                       45,0          45          45         0,0           1
MenuItem.intership_Shop.browse                          52,5          44          61         8,5           2
intership_CommercialNetwork.browse#afterShow             0,0           0           0         0,0           2
intership_CommercialNetwork.browse#beforeShow           31,5          31          32         0,5           2
intership_CommercialNetwork.browse#create                7,0           0          14         7,0           2
intership_CommercialNetwork.browse#init                  0,5           0           1         0,5           2
intership_CommercialNetwork.browse#inject                0,0           0           0         0,0           2
intership_CommercialNetwork.browse#load                293,0           6         580       287,0           2
intership_CommercialNetwork.browse#uiPermissions         0,0           0           0         0,0           2
intership_CommercialNetwork.browse#xml                   2,0           1           3         1,0           2
intership_CommercialNetwork.edit#afterShow               3,0           3           3         0,0           1
intership_CommercialNetwork.edit#beforeShow             16,0          16          16         0,0           1
intership_CommercialNetwork.edit#create                  2,0           2           2         0,0           1
intership_CommercialNetwork.edit#init                    3,0           3           3         0,0           1
intership_CommercialNetwork.edit#inject                  2,0           2           2         0,0           1
intership_CommercialNetwork.edit#load                  199,0         199         199         0,0           1
intership_CommercialNetwork.edit#uiPermissions           0,0           0           0         0,0           1
intership_CommercialNetwork.edit#xml                     1,0           1           1         0,0           1
intership_ManufacturerOfGoods.browse#afterShow           0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#beforeShow         11,5           7          16         4,5           2
intership_ManufacturerOfGoods.browse#create              0,5           0           1         0,5           2
intership_ManufacturerOfGoods.browse#init                2,5           0           5         2,5           2
intership_ManufacturerOfGoods.browse#inject              0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#load               34,0           9          59        25,0           2
intership_ManufacturerOfGoods.browse#uiPermissions         0,0           0           0         0,0           2
intership_ManufacturerOfGoods.browse#xml                 1,0           0           2         1,0           2
intership_Product.browse#afterShow                       0,0           0           0         0,0           1
intership_Product.browse#beforeShow                     14,0          14          14         0,0           1
intership_Product.browse#create                          0,0           0           0         0,0           1
intership_Product.browse#init                            0,0           0           0         0,0           1
intership_Product.browse#inject                          0,0           0           0         0,0           1
intership_Product.browse#load                            9,0           9           9         0,0           1
intership_Product.browse#uiPermissions                   0,0           0           0         0,0           1
intership_Product.browse#xml                             1,0           1           1         0,0           1
intership_Product.edit#afterShow                         0,0           0           0         0,0           1
intership_Product.edit#beforeShow                       10,0          10          10         0,0           1
intership_Product.edit#create                            0,0           0           0         0,0           1
intership_Product.edit#init                              0,0           0           0         0,0           1
intership_Product.edit#inject                            0,0           0           0         0,0           1
intership_Product.edit#load                             10,0          10          10         0,0           1
intership_Product.edit#uiPermissions                     0,0           0           0         0,0           1
intership_Product.edit#xml                               2,0           2           2         0,0           1
intership_Shop.browse#afterShow                          0,0           0           0         0,0           2
intership_Shop.browse#beforeShow                        15,0          10          20         5,0           2
intership_Shop.browse#create                             0,0           0           0         0,0           2
intership_Shop.browse#init                               0,0           0           0         0,0           2
intership_Shop.browse#inject                             0,0           0           0         0,0           2
intership_Shop.browse#load                               9,5           6          13         3,5           2
intership_Shop.browse#uiPermissions                      0,0           0           0         0,0           2
intership_Shop.browse#xml                                0,5           0           1         0,5           2
intership_Shop.edit#afterShow                            0,0           0           0         0,0           3
intership_Shop.edit#beforeShow                          12,7           0          28        11,6           3
intership_Shop.edit#create                               0,0           0           0         0,0           3
intership_Shop.edit#init                                 0,0           0           0         0,0           3
intership_Shop.edit#inject                               0,0           0           0         0,0           3
intership_Shop.edit#load                                35,7           2         100        45,5           3
intership_Shop.edit#uiPermissions                        0,0           0           0         0,0           3
intership_Shop.edit#xml                                  0,3           0           1         0,5           3
login#afterShow                                          0,0           0           0         0,0           1
login#beforeShow                                         5,0           5           5         0,0           1
login#create                                           126,0         126         126         0,0           1
login#init                                              22,0          22          22         0,0           1
login#inject                                            68,0          68          68         0,0           1
login#load                                             689,0         689         689         0,0           1
login#uiPermissions                                      2,0           2           2         0,0           1
login#xml                                               13,0          13          13         0,0           1
lookupWindowActions#create                              14,0          14          14         0,0           1
lookupWindowActions#inject                               8,0           8           8         0,0           1
lookupWindowActions#load                                 4,0           4           4         0,0           1
lookupWindowActions#xml                                  0,5           0           1         0,5           2
main#afterShow                                          13,0          13          13         0,0           1
main#beforeShow                                          0,0           0           0         0,0           1
main#create                                             16,0          16          16         0,0           1
main#init                                               20,0          20          20         0,0           1
main#inject                                              8,0           8           8         0,0           1
main#load                                              174,0         174         174         0,0           1
main#uiPermissions                                       0,0           0           0         0,0           1
main#xml                                                 2,0           2           2         0,0           1
